CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,CLASIFICACION_ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
16-01-0138-46,16-031,ALTA VERAPAZ,COBAN,colegio coban,colegio,km.2 salida a san juan chamelco zona 8,77945104,MERCEDES JOSEFINA TORRES GALVEZ,GUSTAVO ADOLFO SIERRA POP,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0139-46,16-031,ALTA VERAPAZ,COBAN,colegio particular mixto verapaz,colegio,km 209.5 entrada a la ciudad,77367402,MERCEDES JOSEFINA TORRES GALVEZ,GILMA DOLORES GUAY PAZ DE LEAL,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0140-46,16-031,ALTA VERAPAZ,COBAN,colegio la inmaculada,colegio,7a. avenida 11-109 zona 6,78232301,MERCEDES JOSEFINA TORRES GALVEZ,VIRGINIA  SOLANO SERRANO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0141-46,16-005,ALTA VERAPAZ,COBAN,escuela nacional de ciencias comerciales,escuela,2a calle 11-10 zona 2,79514215,RUDY ADOLFO TOT OCH,HÉCTOR ROLANDO CHUN POOU,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0142-46,16-005,ALTA VERAPAZ,COBAN,instituto normal mixto del norte emilio rosales ponce,instituto,3a ave 6-23 zona 11,79521468,RUDY ADOLFO TOT OCH,VICTOR HUGO DOMÍNGUEZ REYES,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,BILINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0143-46,16-031,ALTA VERAPAZ,COBAN,colegio particular mixto imperial,colegio,5a. calle 1-9 zona 3,57101061,MERCEDES JOSEFINA TORRES GALVEZ,HÉCTOR WALDEMAR TOT COY,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ
16-01-0145-46,16-006,ALTA VERAPAZ,COBAN,instituto de tursmo y aviacon del norte i.t.a.n,instituto,3 av. 5-28 zona 4,54641454,EFRAIN CAAL CUC,LUIS FERNANDO SOTO,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0147-46,16-031,ALTA VERAPAZ,COBAN,colegio la inmaculada,colegio,7a. calle 11-09 zona 6 coban,49532425,MERCEDES JOSEFINA TORRES GALVEZ,ROSA MARÍA ZAMORA GONZÁLEZ,DIVERSIFICADO,PRIVADO,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0150-46,16-006,ALTA VERAPAZ,COBAN,instituto intercultrual altaverapacencese iiav,instituto,3a. avaenida 1-23 zona 4,,EFRAIN CAAL CUC,GUILLERMO ESTUARDO VASQUEZ MORALES,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,BILINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ
16-01-0155-46,16-031,ALTA VERAPAZ,COBAN,liceo moderno latino,liceo,11 avenida 5-17 zona 4,79522555,MERCEDES JOSEFINA TORRES GALVEZ,HÉCTOR ARMANDO TEYUL CHEN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ
16-01-0428-46,16-005,ALTA VERAPAZ,COBAN,instituto nacional de educacion diversificada,instituto,"diagonal 08 8-05 zona 8, barrio canton las casas",79945251,RUDY ADOLFO TOT OCH,HELSON MARCO CHÉN GUTIERREZ,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0471-46,16-031,ALTA VERAPAZ,COBAN,colegio de informatica ceninfav,colegio,12 av. 2-12 zona 1,79545566,MERCEDES JOSEFINA TORRES GALVEZ,MARIA MAGDALENA BOL CU,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0478-46,16-031,ALTA VERAPAZ,COBAN,colegio evangelico la patria,colegio,finca chimaxito zona 11,79514440,MERCEDES JOSEFINA TORRES GALVEZ,AURA EUNICE SOTO FONSECA,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0481-46,16-031,ALTA VERAPAZ,COBAN,liceo americano del norte,liceo,5ta. calle 2-23 zona 4,79514754,MERCEDES JOSEFINA TORRES GALVEZ,JOSÉ CUPERTINO REYES GARCIA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0483-46,16-031,ALTA VERAPAZ,COBAN,liceo americano del norte,liceo,5ta. calle 2-23 zona 4,79514754,MERCEDES JOSEFINA TORRES GALVEZ,JOSÉ CUPERTINO REYES GARCIA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ
16-01-0557-46,16-031,ALTA VERAPAZ,COBAN,colegio la libertad,colegio,3ra. avenida 5-12 zona 4,79523696,MERCEDES JOSEFINA TORRES GALVEZ,ERICK FERNANDO CHOC GARCIA,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ
16-01-0558-46,16-005,ALTA VERAPAZ,COBAN,instituto normal preprimaria bilingue adscrito al instituto normal mixto del norte emilio rosales ponce,instituto,3a. ave. 6-23 zona 11,79521468,RUDY ADOLFO TOT OCH,VICTOR HUGO DOMÍNGUEZ REYES,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0559-46,16-005,ALTA VERAPAZ,COBAN,instituto normal primaria bilingue intercultural ads. al instituto emilio rosales ponce,instituto,3a. ave. 6-23 zona 11,79521468,RUDY ADOLFO TOT OCH,VICTOR HUGO DOMÍNGUEZ REYES,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
